# Variable: nd
# Sample shape: (10, 2, 2)
# Date: 2018-04-12 23:13:14.078913
9.571697820519721178e-01,2.211242533632537199e+00,1.412485011151909609e+00,2.118993346651991239e+00
4.305815229082091689e-01,7.160296142341381342e-01,-9.210098895179943401e-01,8.397948855158250403e-01
1.587805647869703352e+00,5.913501786036763352e-01,1.388450994216168244e-01,1.377163444628656030e+00
1.606853556626368640e+00,2.899328884174208198e+00,3.090859029630456112e-01,1.241036050268526481e+00
2.665191009451669757e+00,6.712767240534666113e-01,2.514362938209863785e+00,2.531596456558473651e-01
1.267728237216396936e+00,1.857313332792439819e+00,-1.952264493508453214e-01,-5.648636258700250323e-01
1.020474365072162826e+00,1.229841608530253039e+00,2.837576679592894724e-01,-1.939866707400526025e-01
1.923724944172511719e+00,5.948385782614784567e-01,4.359662046294441318e-01,4.668548158369794088e-01
1.404070926149494358e+00,-8.573833245943713877e-01,1.153749998907172669e+00,9.843718276928891120e-01
-8.832117411845259447e-01,3.079515944410992079e-01,2.216248515898939786e+00,2.113372280566748529e+00
